ID,Catégorie,Question possible à poser au LLM,Type de réponse attendu,Statut attendu,Phrase obligatoire minimale à vérifier,Longueur attendue,Mode de vérification,Pourquoi ce test existe,Priorité
HAR-V2-016,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Modernisation Logistique ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Modernisation Logistique ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-017,Éligibilité aide,Ce client est-il éligible à l’aide Export PME ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Export PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-018,Éligibilité aide,Ce client est-il non éligible à l’aide Export PME ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Export PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-019,Éligibilité aide,Le client est-il partiellement éligible à l’aide Export PME ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Export PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-020,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Export PME ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Export PME ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-021,Éligibilité aide,Ce client est-il éligible à l’aide Innovation PME ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Innovation PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-022,Éligibilité aide,Ce client est-il non éligible à l’aide Innovation PME ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Innovation PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-023,Éligibilité aide,Le client est-il partiellement éligible à l’aide Innovation PME ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Innovation PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-024,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Innovation PME ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Innovation PME ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-025,Éligibilité aide,Ce client est-il éligible à l’aide Formation Compétences ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Formation Compétences",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-026,Éligibilité aide,Ce client est-il non éligible à l’aide Formation Compétences ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Formation Compétences",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-027,Éligibilité aide,Le client est-il partiellement éligible à l’aide Formation Compétences ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Formation Compétences",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-028,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Formation Compétences ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Formation Compétences ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-029,Éligibilité aide,Ce client est-il éligible à l’aide Efficacité Énergétique ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Efficacité Énergétique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-030,Éligibilité aide,Ce client est-il non éligible à l’aide Efficacité Énergétique ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Efficacité Énergétique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-031,Éligibilité aide,Le client est-il partiellement éligible à l’aide Efficacité Énergétique ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Efficacité Énergétique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-032,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Efficacité Énergétique ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Efficacité Énergétique ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-033,Éligibilité aide,Ce client est-il éligible à l’aide Investissement Productif ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Investissement Productif",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-034,Éligibilité aide,Ce client est-il non éligible à l’aide Investissement Productif ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Investissement Productif",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-035,Éligibilité aide,Le client est-il partiellement éligible à l’aide Investissement Productif ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Investissement Productif",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-036,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Investissement Productif ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Investissement Productif ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-037,Éligibilité aide,Ce client est-il éligible à l’aide Accompagnement Qualité ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Accompagnement Qualité",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-038,Éligibilité aide,Ce client est-il non éligible à l’aide Accompagnement Qualité ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Accompagnement Qualité",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-039,Éligibilité aide,Le client est-il partiellement éligible à l’aide Accompagnement Qualité ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Accompagnement Qualité",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-040,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Accompagnement Qualité ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Accompagnement Qualité ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-041,Éligibilité aide,Ce client est-il éligible à l’aide Certification ISO ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Certification ISO",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-042,Éligibilité aide,Ce client est-il non éligible à l’aide Certification ISO ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Certification ISO",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-043,Éligibilité aide,Le client est-il partiellement éligible à l’aide Certification ISO ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Certification ISO",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-044,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Certification ISO ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Certification ISO ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-045,Éligibilité aide,Ce client est-il éligible à l’aide Soutien à la Digitalisation ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Soutien à la Digitalisation",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-046,Éligibilité aide,Ce client est-il non éligible à l’aide Soutien à la Digitalisation ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Soutien à la Digitalisation",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-047,Éligibilité aide,Le client est-il partiellement éligible à l’aide Soutien à la Digitalisation ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Soutien à la Digitalisation",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-048,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Soutien à la Digitalisation ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Soutien à la Digitalisation ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-049,Pièces justificatives,La pièce statuts de la société est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est les statuts de la société,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-050,Pièces justificatives,Le dossier peut-il être instruit sans statuts de la société ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-051,Pièces justificatives,Faut-il demander statuts de la société au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander les statuts de la société,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-052,Pièces justificatives,La pièce registre de commerce est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est le registre de commerce,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-053,Pièces justificatives,Le dossier peut-il être instruit sans registre de commerce ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-054,Pièces justificatives,Faut-il demander registre de commerce au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander le registre de commerce,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-055,Pièces justificatives,La pièce attestation fiscale est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est l’attestation fiscale,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-056,Pièces justificatives,Le dossier peut-il être instruit sans attestation fiscale ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-057,Pièces justificatives,Faut-il demander attestation fiscale au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander l’attestation fiscale,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-058,Pièces justificatives,La pièce attestation CNSS est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est l’attestation CNSS,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-059,Pièces justificatives,Le dossier peut-il être instruit sans attestation CNSS ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-060,Pièces justificatives,Faut-il demander attestation CNSS au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander l’attestation CNSS,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-061,Pièces justificatives,La pièce bilan financier est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est le bilan financier,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-062,Pièces justificatives,Le dossier peut-il être instruit sans bilan financier ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-063,Pièces justificatives,Faut-il demander bilan financier au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander le bilan financier,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-064,Pièces justificatives,La pièce devis fournisseur est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est le devis fournisseur,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-065,Pièces justificatives,Le dossier peut-il être instruit sans devis fournisseur ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-066,Pièces justificatives,Faut-il demander devis fournisseur au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander le devis fournisseur,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-067,Pièces justificatives,La pièce plan de financement est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est le plan de financement,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-068,Pièces justificatives,Le dossier peut-il être instruit sans plan de financement ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-069,Pièces justificatives,Faut-il demander plan de financement au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander le plan de financement,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-070,Pièces justificatives,La pièce justificatif du chiffre d’affaires est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est le justificatif du chiffre d’affaires,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-071,Pièces justificatives,Le dossier peut-il être instruit sans justificatif du chiffre d’affaires ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-072,Pièces justificatives,Faut-il demander justificatif du chiffre d’affaires au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander le justificatif du chiffre d’affaires,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-073,Pièces justificatives,La pièce preuve d’actionnariat privé est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est la preuve d’actionnariat privé,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-074,Pièces justificatives,Le dossier peut-il être instruit sans preuve d’actionnariat privé ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-075,Pièces justificatives,Faut-il demander preuve d’actionnariat privé au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander la preuve d’actionnariat privé,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-076,Pièces justificatives,La pièce lettre de demande est-elle nécessaire pour ce dossier ?,Réponse sur pièce obligatoire avec justification,À vérifier,Le point à vérifier est la lettre de demande,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle cible une seule pièce et n’ajoute pas une longue liste.,Moyenne
HAR-V2-077,Pièces justificatives,Le dossier peut-il être instruit sans lettre de demande ?,Décision sur complétude et blocage,À vérifier,le dossier ne peut pas être confirmé comme complet,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite l’absence de pièce comme un point de complétude.,Haute
HAR-V2-078,Pièces justificatives,Faut-il demander lettre de demande au client ?,Action administrative ciblée,À vérifier,L’action recommandée est de demander la lettre de demande,150 à 200 mots maximum,contains_case_insensitive,Vérifier que l’action recommandée est concrète et courte.,Moyenne
HAR-V2-079,Recours administratif,Le recours est-il recevable si le délai de 30 jours est dépassé ?,Décision sur recevabilité avec justification,Non,"Non, le recours administratif semble non recevable",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite le dépassement de délai comme un blocage potentiel.,Haute
HAR-V2-080,Recours administratif,Le délai de 30 jours bloque-t-il le traitement du recours ?,Analyse de blocage administratif,À vérifier,Le délai constitue un point à vérifier,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle ne tranche pas sans règle disponible.,Haute
HAR-V2-081,Recours administratif,Quelle action recommander si le délai de recours de 30 jours est dépassé ?,Action de régularisation ou vérification,À vérifier,L’action recommandée est de vérifier,150 à 200 mots maximum,contains_case_insensitive,"Vérifier que la réponse propose une action unique, pas un plan complet.",Moyenne
HAR-V2-082,Recours administratif,Le recours est-il recevable si le délai de 45 jours est dépassé ?,Décision sur recevabilité avec justification,Non,"Non, le recours administratif semble non recevable",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite le dépassement de délai comme un blocage potentiel.,Haute
HAR-V2-083,Recours administratif,Le délai de 45 jours bloque-t-il le traitement du recours ?,Analyse de blocage administratif,À vérifier,Le délai constitue un point à vérifier,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle ne tranche pas sans règle disponible.,Haute
HAR-V2-084,Recours administratif,Quelle action recommander si le délai de recours de 45 jours est dépassé ?,Action de régularisation ou vérification,À vérifier,L’action recommandée est de vérifier,150 à 200 mots maximum,contains_case_insensitive,"Vérifier que la réponse propose une action unique, pas un plan complet.",Moyenne
HAR-V2-085,Recours administratif,Le recours est-il recevable si le délai de 60 jours est dépassé ?,Décision sur recevabilité avec justification,Non,"Non, le recours administratif semble non recevable",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite le dépassement de délai comme un blocage potentiel.,Haute
HAR-V2-086,Recours administratif,Le délai de 60 jours bloque-t-il le traitement du recours ?,Analyse de blocage administratif,À vérifier,Le délai constitue un point à vérifier,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle ne tranche pas sans règle disponible.,Haute
HAR-V2-087,Recours administratif,Quelle action recommander si le délai de recours de 60 jours est dépassé ?,Action de régularisation ou vérification,À vérifier,L’action recommandée est de vérifier,150 à 200 mots maximum,contains_case_insensitive,"Vérifier que la réponse propose une action unique, pas un plan complet.",Moyenne
HAR-V2-088,Recours administratif,Le recours est-il recevable si le délai de 90 jours est dépassé ?,Décision sur recevabilité avec justification,Non,"Non, le recours administratif semble non recevable",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle traite le dépassement de délai comme un blocage potentiel.,Haute
HAR-V2-089,Recours administratif,Le délai de 90 jours bloque-t-il le traitement du recours ?,Analyse de blocage administratif,À vérifier,Le délai constitue un point à vérifier,150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle ne tranche pas sans règle disponible.,Haute
HAR-V2-090,Recours administratif,Quelle action recommander si le délai de recours de 90 jours est dépassé ?,Action de régularisation ou vérification,À vérifier,L’action recommandée est de vérifier,150 à 200 mots maximum,contains_case_insensitive,"Vérifier que la réponse propose une action unique, pas un plan complet.",Moyenne
HAR-V2-091,Incohérence dossier,Cette incohérence doit-elle bloquer l’instruction : chiffre d’affaires contradictoire ?,Analyse d’incohérence avec impact administratif,À vérifier,"À vérifier, l’incohérence doit être clarifiée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle signale l’incohérence sans inventer une décision définitive.,Haute
HAR-V2-092,Incohérence dossier,Que faut-il faire si le dossier présente un chiffre d’affaires contradictoire ?,Action de correction administrative,À vérifier,L’action recommandée est de demander une clarification,150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse donne une action simple et ciblée.,Moyenne
HAR-V2-093,Incohérence dossier,Cette incohérence doit-elle bloquer l’instruction : secteur d’activité incohérent ?,Analyse d’incohérence avec impact administratif,À vérifier,"À vérifier, l’incohérence doit être clarifiée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle signale l’incohérence sans inventer une décision définitive.,Haute
HAR-V2-094,Incohérence dossier,Que faut-il faire si le dossier présente un secteur d’activité incohérent ?,Action de correction administrative,À vérifier,L’action recommandée est de demander une clarification,150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse donne une action simple et ciblée.,Moyenne
HAR-V2-095,Incohérence dossier,Cette incohérence doit-elle bloquer l’instruction : forme juridique non confirmée ?,Analyse d’incohérence avec impact administratif,À vérifier,"À vérifier, l’incohérence doit être clarifiée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle signale l’incohérence sans inventer une décision définitive.,Haute
