case_id,date_reception,canal,objet_recours,decision_contestee,motif_demandeur,pieces_fournies,pieces_manquantes,statut_recevabilite_probable,risque,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
REC-2026-0011,2026-02-07,Guichet,demande de reouverture,refus,erreur de service competent signalee,preuve depot initial; registre de commerce; attestation fiscale; accuse reception; email service; justificatif local,decision contestee; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0011 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0012,2026-02-10,Email,aide,refus,delai de traitement juge trop long,attestation fiscale; pieces complementaires; registre de commerce; decision contestee,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0012 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0013,2026-02-13,Courrier scanne,autorisation,absence reponse,montant d'aide attendu different de la notification,attestation fiscale; email service; decision contestee,preuve depot initial; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0013 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0014,2026-02-16,Email,aide,absence reponse,reclamation sur absence de reponse,justificatif local; decision contestee; registre de commerce; preuve depot initial; courrier recours; email service; attestation fiscale,aucune,recevable_a_verifier,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0014 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0015,2026-02-19,Email,aide,orientation autre service,refus pour dossier incomplet conteste par le demandeur,accuse reception; attestation fiscale; courrier recours; email service; preuve depot initial,decision contestee,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0015 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0016,2026-02-22,Courrier scanne,autorisation,classement sans suite,reclamation sur absence de reponse,decision contestee; attestation fiscale; pieces complementaires; justificatif local; accuse reception,preuve depot initial; courrier recours,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0016 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0017,2026-02-25,Email,aide,classement sans suite,montant d'aide attendu different de la notification,attestation fiscale; registre de commerce; pieces complementaires; justificatif local; decision contestee; accuse reception; email service,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0017 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0018,2026-02-28,Guichet,reclamation,refus,reclamation sur absence de reponse,decision contestee; email service; registre de commerce; preuve depot initial,courrier recours,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0018 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0019,2026-03-03,Guichet,autorisation,absence reponse,demande de reouverture apres complement de pieces,preuve depot initial; justificatif local; registre de commerce,decision contestee; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0019 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0020,2026-03-06,Courrier scanne,aide,demande complement,reclamation sur absence de reponse,email service; decision contestee; attestation fiscale; courrier recours; registre de commerce; accuse reception; preuve depot initial,aucune,recevable_a_verifier,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0020 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0021,2026-03-09,Email,aide,refus,montant d'aide attendu different de la notification,courrier recours; preuve depot initial; email service; registre de commerce; justificatif local; pieces complementaires,decision contestee,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0021 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0022,2026-03-12,Guichet,reclamation,classement sans suite,montant d'aide attendu different de la notification,registre de commerce; preuve depot initial; pieces complementaires; email service; accuse reception; courrier recours; attestation fiscale,decision contestee,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0022 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0023,2026-03-15,Chikaya,aide,refus,delai de traitement juge trop long,attestation fiscale; registre de commerce; pieces complementaires; preuve depot initial; accuse reception; email service; courrier recours,decision contestee,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0023 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0024,2026-03-18,Guichet,autorisation,refus,refus pour dossier incomplet conteste par le demandeur,preuve depot initial; pieces complementaires; justificatif local; accuse reception; attestation fiscale; email service,decision contestee; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0024 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0025,2026-03-21,Guichet,aide,refus,delai de traitement juge trop long,accuse reception; registre de commerce; justificatif local; decision contestee,preuve depot initial; courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0025 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->delai de traitement juge trop long; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0026,2026-03-24,Email,reclamation,demande complement,refus pour dossier incomplet conteste par le demandeur,email service; justificatif local; registre de commerce; accuse reception; attestation fiscale,decision contestee; preuve depot initial; courrier recours,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0026 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0027,2026-03-27,Guichet,demande de reouverture,absence reponse,autorisation refusee pour manque justificatif local,attestation fiscale; decision contestee; email service; preuve depot initial; pieces complementaires; justificatif local,courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0027 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0028,2026-03-30,Guichet,aide,classement sans suite,autorisation refusee pour manque justificatif local,registre de commerce; accuse reception; attestation fiscale,decision contestee; preuve depot initial; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0028 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0029,2026-04-02,Email,demande de reouverture,classement sans suite,erreur de service competent signalee,email service; registre de commerce; decision contestee; preuve depot initial; courrier recours; justificatif local; attestation fiscale,aucune,recevable_a_verifier,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0029 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0030,2026-04-05,Email,reclamation,absence reponse,refus pour dossier incomplet conteste par le demandeur,preuve depot initial; accuse reception; email service; courrier recours; decision contestee; justificatif local; registre de commerce,aucune,recevable_a_verifier,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0030 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0031,2026-04-08,Email,aide,absence reponse,reclamation sur absence de reponse,pieces complementaires; accuse reception; preuve depot initial; decision contestee; courrier recours,aucune,recevable_a_verifier,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0031 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0032,2026-04-11,Guichet,reclamation,classement sans suite,autorisation refusee pour manque justificatif local,decision contestee; attestation fiscale; accuse reception; preuve depot initial; email service; courrier recours; justificatif local,aucune,recevable_a_verifier,aucun risque majeur,reponse_argumentee_possible,VERT,Le recours REC-2026-0032 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->VERT,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0033,2026-04-14,Courrier scanne,demande de reouverture,orientation autre service,autorisation refusee pour manque justificatif local,registre de commerce; courrier recours; preuve depot initial,decision contestee,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0033 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0034,2026-04-17,Chikaya,reclamation,absence reponse,autorisation refusee pour manque justificatif local,decision contestee; accuse reception; registre de commerce,preuve depot initial; courrier recours,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0034 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0035,2026-04-20,Email,reclamation,classement sans suite,montant d'aide attendu different de la notification,preuve depot initial; accuse reception; decision contestee,courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0035 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0036,2026-04-23,Chikaya,reclamation,classement sans suite,reclamation sur absence de reponse,accuse reception; registre de commerce; attestation fiscale; courrier recours,decision contestee; preuve depot initial,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0036 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0037,2026-04-26,Chikaya,autorisation,orientation autre service,montant d'aide attendu different de la notification,accuse reception; preuve depot initial; decision contestee; registre de commerce,courrier recours,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0037 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0038,2026-04-29,Email,aide,demande complement,montant d'aide attendu different de la notification,registre de commerce; email service; courrier recours; preuve depot initial; justificatif local,decision contestee,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0038 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0039,2026-05-02,Courrier scanne,aide,refus,refus pour dossier incomplet conteste par le demandeur,email service; attestation fiscale; decision contestee; preuve depot initial; justificatif local; pieces complementaires; courrier recours,aucune,recevable_a_verifier,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0039 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0040,2026-05-05,Guichet,reclamation,classement sans suite,montant d'aide attendu different de la notification,justificatif local; courrier recours; email service; accuse reception; registre de commerce; pieces complementaires,decision contestee; preuve depot initial,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0040 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0041,2026-05-08,Courrier scanne,demande de reouverture,classement sans suite,erreur de service competent signalee,preuve depot initial; attestation fiscale; accuse reception; registre de commerce; decision contestee; pieces complementaires; justificatif local,courrier recours,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0041 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0042,2026-05-11,Guichet,reclamation,absence reponse,demande de reouverture apres complement de pieces,courrier recours; accuse reception; registre de commerce; pieces complementaires,decision contestee; preuve depot initial,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0042 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0043,2026-05-14,Guichet,reclamation,orientation autre service,erreur de service competent signalee,decision contestee; preuve depot initial; pieces complementaires; registre de commerce; courrier recours; justificatif local,aucune,recevable_a_verifier,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0043 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0044,2026-05-17,Guichet,demande de reouverture,absence reponse,autorisation refusee pour manque justificatif local,courrier recours; preuve depot initial; pieces complementaires; email service; decision contestee; registre de commerce; justificatif local,aucune,recevable_a_verifier,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0044 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0045,2026-05-20,Guichet,autorisation,orientation autre service,erreur de service competent signalee,justificatif local; pieces complementaires; accuse reception; preuve depot initial; registre de commerce; email service; attestation fiscale,decision contestee; courrier recours,recevabilite_non_verifiable,dossier incomplet,escalade_hitl_orange,ORANGE,Le recours REC-2026-0045 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0046,2026-05-23,Chikaya,demande de reouverture,refus,autorisation refusee pour manque justificatif local,justificatif local; email service; accuse reception; attestation fiscale; preuve depot initial; registre de commerce,decision contestee; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0046 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
