case_id,date_reception,commune,activite,type_autorisation,canal_depot,pieces_fournies,pieces_obligatoires_attendues,pieces_manquantes,service_competent,delai_instruction_indicatif,risque_principal,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
AUT-2026-0014,2026-02-02,Tanger,prestataire informatique,autorisation activite alimentaire,Guichet commune,certificat de conformite; certificat propriete ou bail; registre de commerce; plan amenagement; demande d'autorisation,certificat de conformite; certificat propriete ou bail; photos du local; registre de commerce; CIN representant; statuts societe; demande manuscrite; plan cadastral,photos du local; CIN representant; statuts societe; demande manuscrite; plan cadastral,guichet commune,15 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0014 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->certificat de conformite;certificat propriete ou bail;photos du local;registre de commerce;CIN representant;statuts societe;demande manuscrite;plan cadastral; Dossier->a_fourni->certificat de conformite;certificat propriete ou bail;registre de commerce;plan amenagement;demande d'autorisation; Dossier->manque->photos du local;CIN representant;statuts societe;demande manuscrite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0015,2026-02-04,Meknes,atelier de fabrication textile,autorisation activite alimentaire,CRI,plan amenagement; statuts societe; registre de commerce; certificat propriete ou bail,plan cadastral; registre de commerce; certificat de conformite; CIN representant; certificat propriete ou bail; plan amenagement; photos du local; demande manuscrite,plan cadastral; certificat de conformite; CIN representant; photos du local; demande manuscrite,service autorisations economiques,a confirmer par service competent,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0015 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan cadastral;registre de commerce;certificat de conformite;CIN representant;certificat propriete ou bail;plan amenagement;photos du local;demande manuscrite; Dossier->a_fourni->plan amenagement;statuts societe;registre de commerce;certificat propriete ou bail; Dossier->manque->plan cadastral;certificat de conformite;CIN representant;photos du local;demande manuscrite; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0016,2026-02-06,Tanger,atelier de fabrication textile,autorisation simple declaration,CRI,plan amenagement; certificat de conformite; registre de commerce; demande d'autorisation; statuts societe; plan cadastral,plan cadastral; demande manuscrite; plan amenagement; CIN representant; photos du local; certificat de conformite,demande manuscrite; CIN representant; photos du local,division affaires economiques,30 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0016 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->plan cadastral;demande manuscrite;plan amenagement;CIN representant;photos du local;certificat de conformite; Dossier->a_fourni->plan amenagement;certificat de conformite;registre de commerce;demande d'autorisation;statuts societe;plan cadastral; Dossier->manque->demande manuscrite;CIN representant;photos du local; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0017,2026-02-08,Rabat,salon de coiffure,autorisation simple declaration,CRI,plan amenagement; demande manuscrite; CIN representant,certificat de conformite; plan amenagement; certificat propriete ou bail; statuts societe; demande d'autorisation; registre de commerce; plan cadastral; CIN representant,certificat de conformite; certificat propriete ou bail; statuts societe; demande d'autorisation; registre de commerce; plan cadastral,service autorisations economiques,a confirmer par service competent,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0017 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->certificat de conformite;plan amenagement;certificat propriete ou bail;statuts societe;demande d'autorisation;registre de commerce;plan cadastral;CIN representant; Dossier->a_fourni->plan amenagement;demande manuscrite;CIN representant; Dossier->manque->certificat de conformite;certificat propriete ou bail;statuts societe;demande d'autorisation;registre de commerce;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0018,2026-02-10,Laayoune,fabrication de mobilier,autorisation enseigne,Guichet commune,plan cadastral; registre de commerce; demande manuscrite; certificat de conformite; certificat propriete ou bail; photos du local; demande d'autorisation,certificat propriete ou bail; plan amenagement; certificat de conformite; plan cadastral; demande manuscrite; photos du local; registre de commerce,plan amenagement,guichet commune,30 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0018 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->certificat propriete ou bail;plan amenagement;certificat de conformite;plan cadastral;demande manuscrite;photos du local;registre de commerce; Dossier->a_fourni->plan cadastral;registre de commerce;demande manuscrite;certificat de conformite;certificat propriete ou bail;photos du local;demande d'autorisation; Dossier->manque->plan amenagement; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0019,2026-02-12,Marrakech,formation professionnelle privee,autorisation enseigne,Depot papier scanne,registre de commerce; CIN representant; certificat de conformite; photos du local,demande manuscrite; certificat propriete ou bail; registre de commerce; plan cadastral; CIN representant; demande d'autorisation; plan amenagement,demande manuscrite; certificat propriete ou bail; plan cadastral; demande d'autorisation; plan amenagement,division affaires economiques,30 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0019 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->demande manuscrite;certificat propriete ou bail;registre de commerce;plan cadastral;CIN representant;demande d'autorisation;plan amenagement; Dossier->a_fourni->registre de commerce;CIN representant;certificat de conformite;photos du local; Dossier->manque->demande manuscrite;certificat propriete ou bail;plan cadastral;demande d'autorisation;plan amenagement; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0020,2026-02-14,Tetouan,production agroalimentaire,autorisation ouverture etablissement,CRI,plan amenagement; certificat de conformite; photos du local; statuts societe; demande d'autorisation,plan cadastral; plan amenagement; certificat propriete ou bail; photos du local; demande d'autorisation; CIN representant; registre de commerce; statuts societe,plan cadastral; certificat propriete ou bail; CIN representant; registre de commerce,service autorisations economiques,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0020 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->plan cadastral;plan amenagement;certificat propriete ou bail;photos du local;demande d'autorisation;CIN representant;registre de commerce;statuts societe; Dossier->a_fourni->plan amenagement;certificat de conformite;photos du local;statuts societe;demande d'autorisation; Dossier->manque->plan cadastral;certificat propriete ou bail;CIN representant;registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0021,2026-02-16,Rabat,atelier mecanique,autorisation simple declaration,Depot papier scanne,photos du local; demande d'autorisation; demande manuscrite; plan amenagement; certificat de conformite; CIN representant,CIN representant; plan amenagement; statuts societe; registre de commerce; plan cadastral; photos du local; certificat propriete ou bail; demande manuscrite,statuts societe; registre de commerce; plan cadastral; certificat propriete ou bail,plateforme Rokhas,7 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0021 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->CIN representant;plan amenagement;statuts societe;registre de commerce;plan cadastral;photos du local;certificat propriete ou bail;demande manuscrite; Dossier->a_fourni->photos du local;demande d'autorisation;demande manuscrite;plan amenagement;certificat de conformite;CIN representant; Dossier->manque->statuts societe;registre de commerce;plan cadastral;certificat propriete ou bail; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0022,2026-02-18,Casablanca,formation professionnelle privee,autorisation occupation temporaire,CRI,statuts societe; certificat propriete ou bail; photos du local; plan amenagement; plan cadastral,registre de commerce; statuts societe; certificat de conformite; plan cadastral; plan amenagement; demande d'autorisation,registre de commerce; certificat de conformite; demande d'autorisation,division affaires economiques,a confirmer par service competent,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0022 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->registre de commerce;statuts societe;certificat de conformite;plan cadastral;plan amenagement;demande d'autorisation; Dossier->a_fourni->statuts societe;certificat propriete ou bail;photos du local;plan amenagement;plan cadastral; Dossier->manque->registre de commerce;certificat de conformite;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0023,2026-02-20,Tetouan,hebergement touristique,autorisation ouverture etablissement,Rokhas,certificat de conformite; CIN representant; plan amenagement; demande d'autorisation,certificat propriete ou bail; demande d'autorisation; CIN representant; plan amenagement; demande manuscrite,certificat propriete ou bail; demande manuscrite,plateforme Rokhas,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0023 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->certificat propriete ou bail;demande d'autorisation;CIN representant;plan amenagement;demande manuscrite; Dossier->a_fourni->certificat de conformite;CIN representant;plan amenagement;demande d'autorisation; Dossier->manque->certificat propriete ou bail;demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0024,2026-02-22,Oujda,agence de voyage,autorisation occupation temporaire,Guichet commune,photos du local; certificat de conformite; statuts societe,CIN representant; plan cadastral; certificat propriete ou bail; photos du local; demande d'autorisation,CIN representant; plan cadastral; certificat propriete ou bail; demande d'autorisation,service autorisations economiques,7 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0024 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->CIN representant;plan cadastral;certificat propriete ou bail;photos du local;demande d'autorisation; Dossier->a_fourni->photos du local;certificat de conformite;statuts societe; Dossier->manque->CIN representant;plan cadastral;certificat propriete ou bail;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0025,2026-02-24,Beni Mellal,formation professionnelle privee,autorisation activite alimentaire,CRI,certificat de conformite; plan amenagement; CIN representant; demande d'autorisation; plan cadastral; certificat propriete ou bail,plan amenagement; photos du local; CIN representant; demande manuscrite; plan cadastral; certificat propriete ou bail,photos du local; demande manuscrite,plateforme Rokhas,30 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0025 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan amenagement;photos du local;CIN representant;demande manuscrite;plan cadastral;certificat propriete ou bail; Dossier->a_fourni->certificat de conformite;plan amenagement;CIN representant;demande d'autorisation;plan cadastral;certificat propriete ou bail; Dossier->manque->photos du local;demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0026,2026-02-26,Tanger,atelier de fabrication textile,autorisation simple declaration,Guichet commune,statuts societe; demande d'autorisation; certificat de conformite; certificat propriete ou bail; plan amenagement; photos du local; plan cadastral,statuts societe; certificat propriete ou bail; CIN representant; certificat de conformite; plan cadastral; photos du local,CIN representant,plateforme Rokhas,a confirmer par service competent,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0026 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->statuts societe;certificat propriete ou bail;CIN representant;certificat de conformite;plan cadastral;photos du local; Dossier->a_fourni->statuts societe;demande d'autorisation;certificat de conformite;certificat propriete ou bail;plan amenagement;photos du local;plan cadastral; Dossier->manque->CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0027,2026-02-28,Rabat,commerce de detail alimentaire,autorisation exploitation commerciale,Rokhas,certificat de conformite; plan cadastral; photos du local; statuts societe; plan amenagement; certificat propriete ou bail,plan amenagement; certificat propriete ou bail; demande d'autorisation; registre de commerce; plan cadastral; demande manuscrite,demande d'autorisation; registre de commerce; demande manuscrite,service autorisations economiques,30 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0027 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->plan amenagement;certificat propriete ou bail;demande d'autorisation;registre de commerce;plan cadastral;demande manuscrite; Dossier->a_fourni->certificat de conformite;plan cadastral;photos du local;statuts societe;plan amenagement;certificat propriete ou bail; Dossier->manque->demande d'autorisation;registre de commerce;demande manuscrite; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0028,2026-03-02,Tanger,restaurant et restauration rapide,autorisation simple declaration,Guichet commune,plan cadastral; certificat de conformite; demande manuscrite; demande d'autorisation; photos du local; statuts societe; certificat propriete ou bail,demande d'autorisation; plan cadastral; statuts societe; photos du local; demande manuscrite,aucune,division affaires economiques,30 jours,surface local non documentee,avis_favorable_conditionnel,ORANGE,Verifier si le dossier AUT-2026-0028 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->demande d'autorisation;plan cadastral;statuts societe;photos du local;demande manuscrite; Dossier->a_fourni->plan cadastral;certificat de conformite;demande manuscrite;demande d'autorisation;photos du local;statuts societe;certificat propriete ou bail; Dossier->manque->aucune; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0029,2026-03-04,Tanger,atelier mecanique,autorisation occupation temporaire,Rokhas,plan cadastral; certificat propriete ou bail; plan amenagement,statuts societe; plan cadastral; CIN representant; demande d'autorisation; certificat propriete ou bail,statuts societe; CIN representant; demande d'autorisation,service autorisations economiques,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0029 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->statuts societe;plan cadastral;CIN representant;demande d'autorisation;certificat propriete ou bail; Dossier->a_fourni->plan cadastral;certificat propriete ou bail;plan amenagement; Dossier->manque->statuts societe;CIN representant;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0030,2026-03-06,Casablanca,hebergement touristique,autorisation ouverture etablissement,Depot papier scanne,registre de commerce; photos du local; certificat de conformite; demande manuscrite; plan amenagement,registre de commerce; plan amenagement; photos du local; statuts societe; plan cadastral,statuts societe; plan cadastral,guichet commune,7 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0030 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->registre de commerce;plan amenagement;photos du local;statuts societe;plan cadastral; Dossier->a_fourni->registre de commerce;photos du local;certificat de conformite;demande manuscrite;plan amenagement; Dossier->manque->statuts societe;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0031,2026-03-08,Tetouan,commerce de detail alimentaire,autorisation enseigne,Rokhas,registre de commerce; photos du local; certificat de conformite; plan amenagement; demande d'autorisation; statuts societe; demande manuscrite,plan amenagement; certificat de conformite; photos du local; demande d'autorisation; CIN representant,CIN representant,service autorisations economiques,15 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0031 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->plan amenagement;certificat de conformite;photos du local;demande d'autorisation;CIN representant; Dossier->a_fourni->registre de commerce;photos du local;certificat de conformite;plan amenagement;demande d'autorisation;statuts societe;demande manuscrite; Dossier->manque->CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
