case_id,date_reception,ville,profil_entreprise,activite,programme_demande,type_demande,effectif_declare,ca_estime_mad,montant_projet_mad,pieces_fournies,pieces_manquantes,conditions_remplies,conditions_non_verifiables,incoherences_detectees,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,commentaire_extraction
AIDE-2026-0011,2026-01-16,Marrakech,PME,restaurant et restauration rapide,MOWAKABA Conseil et Expertise,aide_accompagnement,88,602896,9930182,statuts; devis prestataire; certificat de propriete; photos du local; preuve depot initial; attestation fiscale; RIB; attestation CNSS,decision contestee non jointe; justificatif local absent,situation_fiscale_documentee; projet_chiffre,aucune,aucune incoherence majeure,avis_favorable_conditionnel,VERT,"Analyse le dossier AIDE-2026-0011 et indique si la PME est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->decision contestee non jointe;justificatif local absent; Incoherence->VERT,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0012,2026-01-17,Laayoune,TPE,salon de coiffure,Go Siyaha,appui_tourisme,10,2285975,958574,registre de commerce; ICE; photos du local; bail commercial; preuve depot initial; statuts,attestation fiscale absente,entreprise_identifiee,regularite_fiscale; regularite_sociale; cout_projet,montant devis different du plan de financement,avis_favorable_conditionnel,ORANGE,"Analyse le dossier AIDE-2026-0012 et indique si la TPE est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->attestation fiscale absente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0013,2026-01-18,Casablanca,TPE,prestataire informatique,Go Siyaha,appui_tourisme,3,1938716,1483138,statuts; certificat de propriete; formulaire signe; RIB; preuve depot initial; ICE; plan de financement; photos du local,objet de demande mal qualifie; activite declaree incoherente,financement_decrit,regularite_fiscale; regularite_sociale; cout_projet,prestataire non identifiable,orientation_autre_service,ORANGE,"Analyse le dossier AIDE-2026-0013 et indique si la TPE est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->objet de demande mal qualifie;activite declaree incoherente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0014,2026-01-19,Rabat,TPE,production agroalimentaire,PACT Decarbonation Eau,croissance_verte,19,660658,272182,statuts; preuve depot initial; devis prestataire; formulaire signe; CIN gerant; RIB,justificatif local absent,projet_chiffre,regularite_fiscale; regularite_sociale,prestataire non identifiable,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0014 et indique si la TPE est eligible a PACT Decarbonation Eau, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Decarbonation Eau; PACT Decarbonation Eau->exige->pieces_justificatives; Dossier->manque->justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0015,2026-01-20,Fes,TPE,formation professionnelle privee,PACT Qualite,certification_labelisation,2,1887547,1172342,preuve depot initial; certificat de propriete; statuts; CIN gerant; RIB,objet de demande mal qualifie; registre de commerce illisible,demande_recue,regularite_fiscale; regularite_sociale; cout_projet,prestataire non identifiable,avis_favorable_conditionnel,ORANGE,"Analyse le dossier AIDE-2026-0015 et indique si la TPE est eligible a PACT Qualite, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Qualite; PACT Qualite->exige->pieces_justificatives; Dossier->manque->objet de demande mal qualifie;registre de commerce illisible; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0016,2026-01-21,Beni Mellal,PME,atelier de fabrication textile,PACT Decarbonation Eau,croissance_verte,82,1209074,901248,RIB; photos du local; decision contestee; devis prestataire; bail commercial; formulaire signe; CIN gerant,justificatif local absent,projet_chiffre,regularite_fiscale; regularite_sociale,activite secondaire mentionnee dans un email,avis_favorable_conditionnel,ORANGE,"Analyse le dossier AIDE-2026-0016 et indique si la PME est eligible a PACT Decarbonation Eau, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Decarbonation Eau; PACT Decarbonation Eau->exige->pieces_justificatives; Dossier->manque->justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0017,2026-01-22,Beni Mellal,PME,salon de coiffure,Go Siyaha,appui_tourisme,150,10224376,726754,registre de commerce; devis prestataire; ICE; CIN gerant; certificat de propriete; plan de financement,decision contestee non jointe,entreprise_identifiee; projet_chiffre; financement_decrit,regularite_fiscale; regularite_sociale,prestataire non identifiable,avis_favorable_conditionnel,ORANGE,"Analyse le dossier AIDE-2026-0017 et indique si la PME est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->decision contestee non jointe; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0018,2026-01-23,Settat,TPE,logistique urbaine,Go Siyaha,appui_tourisme,16,1576143,364267,bail commercial; plan de financement; decision contestee; devis prestataire; attestation CNSS; attestation fiscale; statuts; preuve depot initial,justificatif local absent,situation_fiscale_documentee; projet_chiffre; financement_decrit,aucune,prestataire non identifiable,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0018 et indique si la TPE est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0019,2026-01-24,Agadir,PME,logistique urbaine,MOWAKABA Digitalisation,aide_digitalisation,42,7601517,9173685,ICE; devis prestataire; statuts; decision contestee; attestation fiscale,activite declaree incoherente,situation_fiscale_documentee; projet_chiffre,regularite_sociale,aucune incoherence majeure,avis_favorable_conditionnel,VERT,"Analyse le dossier AIDE-2026-0019 et indique si la PME est eligible a MOWAKABA Digitalisation, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Digitalisation; MOWAKABA Digitalisation->exige->pieces_justificatives; Dossier->manque->activite declaree incoherente; Incoherence->VERT,https://marocpme.gov.ma/mowakaba-tpme/accompagnement-technique/digitalisation-des-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0020,2026-01-25,Rabat,PME,agence de voyage,PACT Qualite,certification_labelisation,71,4977085,10207360,bail commercial; decision contestee; devis prestataire; attestation fiscale; preuve depot initial,registre de commerce illisible,situation_fiscale_documentee; projet_chiffre,regularite_sociale,montant devis different du plan de financement,avis_favorable_conditionnel,ORANGE,"Analyse le dossier AIDE-2026-0020 et indique si la PME est eligible a PACT Qualite, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Qualite; PACT Qualite->exige->pieces_justificatives; Dossier->manque->registre de commerce illisible; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0021,2026-01-26,Tanger,PME,atelier de fabrication textile,MOWAKABA Conseil et Expertise,aide_accompagnement,2,5846150,2254789,bail commercial; preuve depot initial; attestation fiscale; devis prestataire; formulaire signe; certificat de propriete,registre de commerce illisible,situation_fiscale_documentee; projet_chiffre,regularite_sociale,statut fiscal non verifiable,escalade_hitl_orange,ORANGE,"Analyse le dossier AIDE-2026-0021 et indique si la PME est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->registre de commerce illisible; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0022,2026-01-27,Fes,PME,atelier de fabrication textile,PACT Qualite,certification_labelisation,96,10022888,9329832,photos du local; formulaire signe; devis prestataire; preuve depot initial; RIB; certificat de propriete,plan de financement incomplet,projet_chiffre,regularite_fiscale; regularite_sociale,aucune incoherence majeure,orientation_autre_service,VERT,"Analyse le dossier AIDE-2026-0022 et indique si la PME est eligible a PACT Qualite, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Qualite; PACT Qualite->exige->pieces_justificatives; Dossier->manque->plan de financement incomplet; Incoherence->VERT,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0023,2026-01-28,Oujda,PME,agence de voyage,MOWAKABA Conseil et Expertise,aide_accompagnement,62,14755676,2786327,registre de commerce; attestation fiscale; attestation CNSS; preuve depot initial; certificat de propriete; statuts,plan de financement incomplet; objet de demande mal qualifie; devis prestataire non signe,entreprise_identifiee; situation_fiscale_documentee,cout_projet,montant devis different du plan de financement,escalade_hitl_rouge,ROUGE,"Analyse le dossier AIDE-2026-0023 et indique si la PME est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->plan de financement incomplet;objet de demande mal qualifie;devis prestataire non signe; Incoherence->ROUGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0024,2026-01-29,Marrakech,TPE,production agroalimentaire,PACT Decarbonation Eau,croissance_verte,13,1530063,1014604,registre de commerce; CIN gerant; photos du local; attestation CNSS; RIB; statuts; attestation fiscale; decision contestee,devis prestataire non signe; justificatif local absent; preuve de depot initiale absente,entreprise_identifiee; situation_fiscale_documentee,cout_projet,prestataire non identifiable,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0024 et indique si la TPE est eligible a PACT Decarbonation Eau, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Decarbonation Eau; PACT Decarbonation Eau->exige->pieces_justificatives; Dossier->manque->devis prestataire non signe;justificatif local absent;preuve de depot initiale absente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0025,2026-01-30,Casablanca,TPE,prestataire informatique,MOWAKABA Conseil et Expertise,aide_accompagnement,10,998967,2495169,RIB; attestation CNSS; attestation fiscale; ICE; certificat de propriete; decision contestee,preuve de depot initiale absente; montant investissement non ventile; objet de demande mal qualifie,situation_fiscale_documentee,cout_projet,adresse local differente entre bail et formulaire,non_eligible_temporaire,ORANGE,"Analyse le dossier AIDE-2026-0025 et indique si la TPE est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->preuve de depot initiale absente;montant investissement non ventile;objet de demande mal qualifie; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0026,2026-01-31,Marrakech,TPE,fabrication de mobilier,ISTITMAR PME,prime_investissement_pme,3,2078957,67093,plan de financement; RIB; attestation CNSS; photos du local; certificat de propriete,preuve de depot initiale absente; registre de commerce illisible,financement_decrit,regularite_fiscale; cout_projet,prestataire non identifiable,escalade_hitl_rouge,ROUGE,"Analyse le dossier AIDE-2026-0026 et indique si la TPE est eligible a ISTITMAR PME, les pieces manquantes et le niveau HITL.",Entreprise->demande->ISTITMAR PME; ISTITMAR PME->exige->pieces_justificatives; Dossier->manque->preuve de depot initiale absente;registre de commerce illisible; Incoherence->ROUGE,https://marocpme.gov.ma/istitmar/istitmar-pme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0027,2026-02-01,Agadir,TPE,formation professionnelle privee,Go Siyaha,appui_tourisme,24,1490067,2385374,RIB; ICE; bail commercial; attestation CNSS; plan de financement; photos du local; decision contestee,objet de demande mal qualifie; preuve de depot initiale absente; activite declaree incoherente,financement_decrit,regularite_fiscale; cout_projet,statut fiscal non verifiable,escalade_hitl_orange,ORANGE,"Analyse le dossier AIDE-2026-0027 et indique si la TPE est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->objet de demande mal qualifie;preuve de depot initiale absente;activite declaree incoherente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0028,2026-02-02,Oujda,TPE,hebergement touristique,MOWAKABA Conseil et Expertise,aide_accompagnement,16,2102984,1914552,bail commercial; RIB; preuve depot initial; photos du local; CIN gerant; plan de financement; attestation fiscale; decision contestee,statuts non fournis; devis prestataire non signe; activite declaree incoherente,situation_fiscale_documentee; financement_decrit,regularite_sociale; cout_projet,montant devis different du plan de financement,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0028 et indique si la TPE est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->statuts non fournis;devis prestataire non signe;activite declaree incoherente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0029,2026-02-03,Marrakech,TPE,imprimerie,PACT Qualite,certification_labelisation,6,352447,253834,certificat de propriete; preuve depot initial; photos du local; CIN gerant; bail commercial; ICE; attestation fiscale; attestation CNSS,activite declaree incoherente,situation_fiscale_documentee,cout_projet,statut fiscal non verifiable,non_eligible_temporaire,ORANGE,"Analyse le dossier AIDE-2026-0029 et indique si la TPE est eligible a PACT Qualite, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Qualite; PACT Qualite->exige->pieces_justificatives; Dossier->manque->activite declaree incoherente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0030,2026-02-04,Settat,PME,commerce de detail alimentaire,MOWAKABA Conseil et Expertise,aide_accompagnement,29,13309727,7192769,formulaire signe; RIB; bail commercial; plan de financement; statuts,objet de demande mal qualifie; montant investissement non ventile; activite declaree incoherente,financement_decrit,regularite_fiscale; regularite_sociale; cout_projet,activite secondaire mentionnee dans un email,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0030 et indique si la PME est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->objet de demande mal qualifie;montant investissement non ventile;activite declaree incoherente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0031,2026-02-05,Laayoune,TPE,production agroalimentaire,MOWAKABA Conseil et Expertise,aide_accompagnement,7,2240928,1947729,registre de commerce; devis prestataire; statuts; ICE; formulaire signe; CIN gerant; bail commercial; attestation CNSS,objet de demande mal qualifie; montant investissement non ventile,entreprise_identifiee; projet_chiffre,regularite_fiscale,adresse local differente entre bail et formulaire,escalade_hitl_orange,ORANGE,"Analyse le dossier AIDE-2026-0031 et indique si la TPE est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->objet de demande mal qualifie;montant investissement non ventile; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0032,2026-02-06,Tanger,TPE,hebergement touristique,ISTITMAR PME,prime_investissement_pme,12,2515562,397967,certificat de propriete; preuve depot initial; devis prestataire; formulaire signe; bail commercial; statuts; attestation fiscale,plan de financement incomplet; objet de demande mal qualifie,situation_fiscale_documentee; projet_chiffre,regularite_sociale,montant devis different du plan de financement,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0032 et indique si la TPE est eligible a ISTITMAR PME, les pieces manquantes et le niveau HITL.",Entreprise->demande->ISTITMAR PME; ISTITMAR PME->exige->pieces_justificatives; Dossier->manque->plan de financement incomplet;objet de demande mal qualifie; Incoherence->ORANGE,https://marocpme.gov.ma/istitmar/istitmar-pme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0033,2026-02-07,Oujda,TPE,atelier de fabrication textile,MOWAKABA Conseil et Expertise,aide_accompagnement,8,2012209,1693584,RIB; photos du local; CIN gerant; decision contestee; statuts; ICE,objet de demande mal qualifie; justificatif local absent,demande_recue,regularite_fiscale; regularite_sociale; cout_projet,adresse local differente entre bail et formulaire,escalade_hitl_orange,ORANGE,"Analyse le dossier AIDE-2026-0033 et indique si la TPE est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->objet de demande mal qualifie;justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0034,2026-02-08,Casablanca,TPE,formation professionnelle privee,PACT Decarbonation Eau,croissance_verte,12,1945827,752247,formulaire signe; registre de commerce; attestation CNSS; attestation fiscale; RIB; bail commercial; devis prestataire; statuts,activite declaree incoherente; justificatif local absent,entreprise_identifiee; situation_fiscale_documentee; projet_chiffre,aucune,prestataire non identifiable,escalade_hitl_orange,ORANGE,"Analyse le dossier AIDE-2026-0034 et indique si la TPE est eligible a PACT Decarbonation Eau, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Decarbonation Eau; PACT Decarbonation Eau->exige->pieces_justificatives; Dossier->manque->activite declaree incoherente;justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
